time_s,time_min,temperature_C,pressure_bar_abs,epsilon_r_est,pH_neutral_est,Yield
0,0,100.0,3.58,55.424,6.144,0.0
60,1,100.909,3.786,55.078,6.112,0.0
120,2,102.139,4.053,55.021,6.103,0.0
180,3,103.536,4.351,54.952,6.157,0.0
240,4,105.051,4.667,54.201,6.165,0.0
300,5,106.653,4.996,53.871,6.115,0.89
360,6,108.318,5.332,53.981,6.139,0.954
420,7,110.032,5.674,53.425,6.111,1.018
480,8,111.782,6.017,52.756,6.072,1.0819999999999999
540,9,113.558,6.361,52.643,6.093,1.146
600,10,115.353,6.705,52.021,6.119,1.21
660,11,117.162,7.047,51.648,6.063,1.5699999999999998
720,12,118.982,7.388,51.45,6.102,1.93
780,13,120.811,7.728,50.535,5.967,2.29
840,14,122.649,8.067,50.203,6.061,2.65
900,15,124.498,8.406,50.113,6.03,3.01
960,16,126.361,8.748,49.616,6.009,3.055
1020,17,128.241,9.092,49.561,6.012,4.01
1080,18,130.144,9.441,48.863,5.94,4.64
1140,19,132.075,9.797,48.34,5.983,3.98
1200,20,134.039,10.161,48.654,5.991,3.45
1260,21,136.044,10.535,47.819,6.014,3.33
1320,22,138.095,10.923,47.469,5.944,3.0
1380,23,140.199,11.324,46.663,5.925,2.67
1440,24,142.363,11.742,46.437,5.923,2.34
1500,25,144.591,12.177,46.142,5.955,2.01
1560,26,146.889,12.632,45.353,5.925,1.92
1620,27,149.26,13.107,45.246,5.888,1.8299999999999998
1680,28,151.708,13.604,44.491,5.907,1.74
1740,29,154.236,14.123,44.038,5.882,1.65
1800,30,156.844,14.665,43.412,5.895,1.56
1860,31,159.532,15.229,43.461,5.831,1.452
1920,32,162.299,15.816,42.414,5.829,1.344
1980,33,165.142,16.424,41.556,5.813,1.236
2040,34,168.058,17.054,41.413,5.766,1.1280000000000001
2100,35,171.043,17.703,40.276,5.804,1.02
2160,36,174.09,18.37,39.993,5.787,0.968
2220,37,177.194,19.054,38.799,5.764,0.916
2280,38,180.347,19.753,38.295,5.741,0.864
2340,39,183.541,20.464,38.006,5.69,0.812
2400,40,186.77,21.186,37.463,5.704,0.76
2460,41,190.024,21.917,36.638,5.69,0.654
2520,42,193.295,22.653,35.879,5.659,0.548
2580,43,196.577,23.393,35.144,5.662,0.44199999999999995
2640,44,199.86,24.134,34.16,5.663,0.33599999999999997
2700,45,203.138,24.875,33.849,5.699,0.23
2760,46,206.406,25.614,33.424,5.64,0.23
2820,47,209.657,26.348,33.316,5.635,0.23
2880,48,212.887,27.077,32.653,5.617,0.23
2940,49,216.093,27.799,31.645,5.554,0.23
3000,50,219.273,28.512,31.69,5.603,0.23
3060,51,222.425,29.218,31.04,5.598,0.23
3120,52,225.551,29.914,30.498,5.663,0.23
3180,53,228.652,30.602,30.355,5.575,0.23
3240,54,231.73,31.281,29.998,5.583,0.23
3300,55,234.79,31.951,29.514,5.565,0.23
3360,56,237.835,32.615,28.615,5.524,0.23
3420,57,240.873,33.272,28.292,5.586,0.23
3480,58,243.908,33.924,27.997,5.567,0.23
3540,59,246.948,34.572,27.702,5.561,0.23
3600,60,250.0,35.0,26.88,5.503,0.23
